Name,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks
INTERNATIONAL,2021-02-22 16:09:33,Web Development,ValueMantra Pte Limited,Work From Home,Immediately, 3000 /month,4 Months,3 Mar' 21,Internship,"['Machine Learning', 'Natural Language Processing (NLP)', 'Artifical Intelligence', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:33,Marketing,Lumenci,Work From Home,Immediately, 9000 /month,1 Month,3 Mar' 21,Internship,"['Digital Marketing', 'Email Marketing', 'Certificate', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:34,Content Writing,ValueMantra Pte Limited,Work From Home,Immediately, 3000 /month,4 Months,3 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:35,Social Media Marketing,ValueMantra Pte Limited,Work From Home,Immediately, 3000 /month,4 Months,3 Mar' 21,Internship,"['HTML', 'Social Media Marketing', 'Search Engine Marketing (SEM)', 'Digital Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Facebook Marketing', 'Email Marketing', 'Video Making', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:36,Content Writing,Bless Naturally,Work From Home,Immediately, 3250 /month,4 Months,3 Mar' 21,Internship,"['Creative Writing', 'English Proficiency (Written)', 'British English', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:36,Motion Graphic Design/2D/3D Animation Creation,Medclick Private Limited,Work From Home,Immediately, 3000 /month +  Incentives,6 Months,3 Mar' 21,Internship,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe Premiere Pro', 'Adobe After Effects', 'Certificate', ' Letter of recommendation', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:37,Business Development (Sales),Reflective AI,Work From Home,Immediately, 30000 /month,3 Months,3 Mar' 21,Internship,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:38,Search Engine Optimization (SEO),Market Forever Limited,Work From Home,Immediately, 1000 /month,3 Months,3 Mar' 21,Internship,"['WordPress', 'MS-Word', 'MS-PowerPoint', 'MS-Excel', 'Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:38,Web Development,Santosh Tandrothu,Work From Home,Immediately, 10000 /month,2 Months,3 Mar' 21,Internship,"['HTML', 'CSS', 'Django', 'ReactJS', 'MEAN/MERN Stack', 'Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:39,Graphic Design,Santosh Tandrothu,Work From Home,Immediately, 5000 /month,1 Month,3 Mar' 21,Internship,"['Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:40,Graphic Design,Solve Foundation,Work From Home,Immediately,Unpaid,2 Months,3 Mar' 21,Internship,"['Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:41,Program Management,Solve Foundation,Work From Home,Immediately,Unpaid,6 Months,3 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:41,Digital Marketing,Cyan Reef,Work From Home,Immediately, 25000 /month,6 Months,3 Mar' 21,Internship,"['Social Media Marketing', 'Adobe Photoshop', 'Blogging', 'Google Analytics', 'Adobe Illustrator', 'WordPress', 'Digital Marketing', 'Salesforce', 'Facebook Marketing', 'Copywriting', 'Economics', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:42,UI/UX Design,Medclick Private Limited,Work From Home,Immediately, 3000 /month +  Incentives,6 Months,3 Mar' 21,Internship,"['Adobe Photoshop', 'Adobe Illustrator', 'UI & UX Design', 'Rapid Prototyping', 'Adobe XD', 'Figma', 'Certificate', ' Letter of recommendation', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:43,Business Development (Sales),Market Forever Limited,Work From Home,Immediately, 1000 /month,3 Months,2 Mar' 21,Internship,"['Digital Marketing', 'English Proficiency (Spoken)', 'Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:43,Graphic Design,Skadal Holding AS,Work From Home,Immediately, 7000 /month,3 Months,2 Mar' 21,Internship,"['Adobe Photoshop', 'Adobe Illustrator', 'Adobe Premiere Pro', 'Adobe Photoshop Lightroom CC', 'Video Editing', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:44,Content Writing,Medclick Private Limited,Work From Home,Immediately, 2500 /month,4 Months,2 Mar' 21,Internship,"['Creative Writing', 'Report Writing', 'Certificate', ' Letter of recommendation', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:45,Human Resources (HR),Betickled,Work From Home,Immediately, 1000 /month,3 Months,2 Mar' 21,Internship,"['Recruitment', 'Certificate', ' Letter of recommendation', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:45,Graphic Design,SelfCAD,Work From Home,Immediately, 2000-5000 /week,1 Week,2 Mar' 21,Internship,"['Adobe Photoshop', '3ds Max', 'American English', 'Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:46,Business Development (Blockchain),SoHo Ventures,Work From Home,Immediately, 3000 /month,3 Months,2 Mar' 21,Internship,"['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:47,Content Writing,Skill Boost,Work From Home,Immediately, 1000 /month,2 Months,2 Mar' 21,Internship,"['English Proficiency (Written)', 'Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:47,International Business Development,Richa Maheshwari Photography,Delhi,Immediately, 5000 /month,5 Months,2 Mar' 21,Internship,"['Social Media Marketing', 'Computer Networking', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' Informal dress code', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:49,Social Media Marketing,SalesAngel,Work From Home,Immediately, 10000-20000 /month,3 Months,23 Mar' 21,Internship,"['Social Media Marketing', 'Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week']"
INTERNATIONAL,2021-02-22 16:09:50,Content Writing,REVES Enterprise Limited,Work From Home,Immediately, 2000-5000 /month,3 Months,2 Mar' 21,Internship,"['Creative Writing', 'Certificate', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:50,Social Media Marketing,Print Online (UAE),Work From Home,Immediately, 3000-8000 /month,3 Months,1 Mar' 21,Internship,"['Social Media Marketing', 'Adobe Photoshop', 'Blogging', 'Video Editing', 'Email Marketing', 'Certificate', ' Letter of recommendation', ' Flexible work hours']"
INTERNATIONAL,2021-02-22 16:09:51,Content & E-Commerce Management,Safinat Al Sahraa Trading Co LLC,Work From Home,Immediately, 2000 /month +  Incentives,3 Months,1 Mar' 21,Internship,"['Certificate', ' Letter of recommendation']"
INTERNATIONAL,2021-02-22 16:09:52,Integration Development,Cloudify,Work From Home,Immediately, 10000 /month,3 Months,1 Mar' 21,Internship,"['JavaScript', 'Algorithms', 'REST API', 'Certificate', ' Letter of recommendation', ' 5 days a week']"
